age_group,statefip,poverty_rate,ubi
adult,13,0.07127922386415722,6000
adult,15,0.08116340389455874,6000
adult,16,0.040803319900359375,6000
adult,17,0.05952944215487468,6000
adult,18,0.0441591177793806,6000
adult,19,0.038187915647495636,6000
adult,20,0.03971919051581645,6000
adult,21,0.05108126927306335,6000
adult,22,0.07327906675484863,6000
adult,23,0.035873530180453896,6000
adult,24,0.08233645076616326,6000
adult,25,0.06195091175121072,6000
adult,26,0.044805463416218015,6000
adult,27,0.03080610712234171,6000
adult,28,0.06774852627921847,6000
adult,29,0.040738004567085484,6000
adult,30,0.04261112845499512,6000
adult,31,0.04479668456788107,6000
adult,32,0.06817958918886485,6000
adult,33,0.04307892192260042,6000
adult,34,0.07301013261591967,6000
adult,35,0.052884325474607495,6000
adult,36,0.07805293000231661,6000
adult,37,0.06255047443150497,6000
adult,38,0.04671069796425584,6000
adult,39,0.041498279563662165,6000
adult,40,0.04931576161909989,6000
adult,41,0.05500489034836067,6000
adult,42,0.05072031338873435,6000
adult,44,0.03452985383045517,6000
adult,45,0.07156531112064374,6000
adult,46,0.04281393311396512,6000
adult,47,0.04505954922157887,6000
adult,48,0.07223041488175103,6000
adult,49,0.04475303347497256,6000
adult,50,0.05137509192481219,6000
adult,51,0.06392448159239933,6000
adult,53,0.04600017281156063,6000
adult,54,0.047298961810511964,6000
adult,55,0.03653867789259784,6000
adult,56,0.049994818356762706,6000
child,1,0.026728504913975916,6000
child,2,0.04601649186275077,6000
child,4,0.017606865811119716,6000
child,5,0.016730138227354658,6000
child,6,0.04654663200871308,6000
child,8,0.03096422409103198,6000
child,9,0.037923125338246454,6000
child,10,0.02784007493100177,6000
child,11,0.03961571733775301,6000
child,12,0.04104301917059545,6000
child,13,0.03330285644794444,6000
child,15,0.03422491412021823,6000
child,16,0.007889222162161874,6000
child,17,0.02346833179158213,6000
child,18,0.020477792059254,6000
child,19,0.012798509667639138,6000
child,20,0.01512519896717056,6000
child,21,0.01470784943952083,6000
child,22,0.02736342434594252,6000
child,23,0.016324013203281303,6000
child,24,0.03113482432058155,6000
child,25,0.02068198851818839,6000
child,26,0.022085016590926296,6000
child,27,0.00896458443389622,6000
child,28,0.02036949698373449,6000
child,29,0.01388600324154205,6000
child,30,0.020131871765565097,6000
child,31,0.020933503703314905,6000
child,32,0.030311689461664196,6000
child,33,0.015183552026664117,6000
child,34,0.037316696442888625,6000
child,35,0.019389306877475736,6000
child,36,0.04801368687802717,6000
child,37,0.02172988486916576,6000
child,38,0.021381225096657734,6000
child,39,0.014285091682613575,6000
child,40,0.018273451934917473,6000
child,41,0.021155146297485737,6000
child,42,0.03142400482893674,6000
child,44,0.025186106775584458,6000
child,45,0.031051104601361523,6000
child,46,0.017612313598216977,6000
child,47,0.02236106410904917,6000
child,48,0.03089459568396256,6000
child,49,0.02146750379387659,6000
child,50,0.03292650624675212,6000
child,51,0.03398137573498958,6000
child,53,0.023825756500662248,6000
child,54,0.012900897593460376,6000
child,55,0.012646824203009933,6000
child,56,0.019416128604044684,6000
